"Route";"Year";"Indicator";"Scenario";"V1";"valuenew";"Range";"label"
"Fossil+CCS";"2050";"Installed capacity";"2 Degrees";3.28571428571429;"[0.3]";"Mean";"OK"
"Total CCS";"2030";"Share in electricity";"2 Degrees";3.14285714285714;"[0.1]";"Mean";"OK"
"Total CCS";"2050";"Share in electricity";"2 Degrees";3.42857142857143;"[0.4]";"Mean";"OK"
"Total CCS";"2030";"Installed capacity";"2 Degrees";3.71428571428571;"[0.7]";"Mean";"HI"
"Total CCS";"2050";"Installed capacity";"2 Degrees";3.71428571428571;"[0.7]";"Mean";"HI"
"Bio+CCS";"2030";"Installed capacity";"2 Degrees";4;"[1]";"Mean";"HI"
"Bio+CCS";"2050";"Installed capacity";"2 Degrees";4.28571428571429;"[1.3]";"Mean";"HI"
"Fossil+CCS";"2030";"Installed capacity";"2 Degrees";3.85714285714286;"[0.9]";"Mean";"HI"
"Bio+CCS";"2030";"Share in electricity";"2 Degrees";4;"[1]";"Mean";"HI"
"Bio+CCS";"2050";"Share in electricity";"2 Degrees";4.14285714285714;"[1.1]";"Mean";"HI"
