"Scenario";"Region";"Carrier";"Indicator";"Year.x";"ymax";"ymin"
"2DS";"CHINA";"Coal";"TFC";1990;52.9655159262822;41.7766570068504
"2DS";"CHINA";"Coal";"TFC";1991;55.3172401299681;44.6878241565079
"2DS";"CHINA";"Coal";"TFC";1992;57.668964333654;47.5989913061654
"2DS";"CHINA";"Coal";"TFC";1993;60.0206885373399;50.5101584558228
"2DS";"CHINA";"Coal";"TFC";1994;62.3724127410258;53.4213256054803
"2DS";"CHINA";"Coal";"TFC";1995;64.7241369447117;56.3324927551378
"2DS";"CHINA";"Coal";"TFC";1996;67.0758611483976;59.2436599047953
"2DS";"CHINA";"Coal";"TFC";1997;69.4275853520835;62.1548270544528
"2DS";"CHINA";"Coal";"TFC";1998;71.7793095557693;65.0659942041102
"2DS";"CHINA";"Coal";"TFC";1999;74.1310337594552;67.9771613537677
"2DS";"CHINA";"Coal";"TFC";2000;76.4827579631411;46.4387925867866
"2DS";"CHINA";"Coal";"TFC";2001;78.834482166827;51.794913328108
"2DS";"CHINA";"Coal";"TFC";2002;81.1862063705129;57.1510340694293
"2DS";"CHINA";"Coal";"TFC";2003;83.5379305741988;62.5071548107507
"2DS";"CHINA";"Coal";"TFC";2004;85.8896547778847;67.863275552072
"2DS";"CHINA";"Coal";"TFC";2005;88.2413789815706;73.2193962933933
"2DS";"CHINA";"Coal";"TFC";2006;90.5931031852565;78.5755170347147
"2DS";"CHINA";"Coal";"TFC";2007;92.9448273889424;83.931637776036
"2DS";"CHINA";"Coal";"TFC";2008;95.2965515926282;89.2877585173573
"2DS";"CHINA";"Coal";"TFC";2009;97.6482757963141;94.6438792586787
"2DS";"CHINA";"Coal";"TFC";2010;100;100
"2DS";"CHINA";"Coal";"TFC";2011;105.356120741321;102.351724203686
"2DS";"CHINA";"Coal";"TFC";2012;110.712241482643;104.703448407372
"2DS";"CHINA";"Coal";"TFC";2013;116.068362223964;105.308796204813
"2DS";"CHINA";"Coal";"TFC";2014;121.424482965285;105.914144002254
"2DS";"CHINA";"Coal";"TFC";2015;126.780603706607;105.000655203943
"2DS";"CHINA";"Coal";"TFC";2016;124.159402028605;103.703503459973
"2DS";"CHINA";"Coal";"TFC";2017;121.538200350604;102.406351716002
"2DS";"CHINA";"Coal";"TFC";2018;118.916998672603;101.109199972032
"2DS";"CHINA";"Coal";"TFC";2019;116.295796994601;99.8120482280615
"2DS";"CHINA";"Coal";"TFC";2020;113.6745953166;98.5148964840911
"2DS";"CHINA";"Coal";"TFC";2021;111.053393638599;95.4268626341768
"2DS";"CHINA";"Coal";"TFC";2022;108.432191960598;92.3388287842626
"2DS";"CHINA";"Coal";"TFC";2023;105.810990282596;89.2507949343484
"2DS";"CHINA";"Coal";"TFC";2024;103.189788604595;86.1627610844342
"2DS";"CHINA";"Coal";"TFC";2025;100.568586926594;83.07472723452
"2DS";"CHINA";"Coal";"TFC";2026;96.4163130711584;79.9866933846057
"2DS";"CHINA";"Coal";"TFC";2027;92.2640392157231;76.8986595346915
"2DS";"CHINA";"Coal";"TFC";2028;88.1117653602879;73.8106256847773
"2DS";"CHINA";"Coal";"TFC";2029;84.4138416209357;70.7225918348631
"2DS";"CHINA";"Coal";"TFC";2030;81.6213539358287;67.6345579849489
"2DS";"CHINA";"Coal";"TFC";2031;78.4471173560738;64.4977226471333
"2DS";"CHINA";"Coal";"TFC";2032;75.272880776319;61.3608873093177
"2DS";"CHINA";"Coal";"TFC";2033;72.0986441965641;58.2240519715021
"2DS";"CHINA";"Coal";"TFC";2034;68.9244076168092;55.0872166336866
"2DS";"CHINA";"Coal";"TFC";2035;65.7501710370544;51.950381295871
