"Scenario";"Region";"Carrier.x";"Indicator";"Year";"ymax";"ymin"
"2DS";"CHINA";"Coal";"Industry";1990;73.7052791734138;72.1876042797464
"2DS";"CHINA";"Oil";"Industry";1990;9.46321538546018;8.58483320042856
"2DS";"CHINA";"Gas";"Industry";1990;1.05840510595878;1.02153178807812
"2DS";"CHINA";"Electricity";"Industry";1990;12.7598281680979;12.3152940313141
"2DS";"CHINA";"Heat";"Industry";1990;4.53090482083948;4.37305458674173
"2DS";"CHINA";"Bioenergy";"Industry";1990;0;0
"2DS";"CHINA";"Other renewables";"Industry";1990;0;0
"2DS";"CHINA";"Coal";"Industry";1991;71.0127777058503;69.9000602401618
"2DS";"CHINA";"Oil";"Industry";1991;8.85009489646971;8.33208353859038
"2DS";"CHINA";"Gas";"Industry";1991;1.56975667663088;1.36431325007653
"2DS";"CHINA";"Electricity";"Industry";1991;15.0203174032176;14.6690211261213
"2DS";"CHINA";"Heat";"Industry";1991;4.65665601124562;4.58825847896635
"2DS";"CHINA";"Bioenergy";"Industry";1991;0;0
"2DS";"CHINA";"Other renewables";"Industry";1991;0.00307904171957054;0.00293913423534072
"2DS";"CHINA";"Coal";"Industry";1992;68.788533498232;68.0929283378118
"2DS";"CHINA";"Oil";"Industry";1992;8.36573718511374;8.12583968397639
"2DS";"CHINA";"Gas";"Industry";1992;1.97371818324572;1.64748419700041
"2DS";"CHINA";"Electricity";"Industry";1992;16.806076339883;16.6134294565812
"2DS";"CHINA";"Heat";"Industry";1992;4.76603790025614;4.75599791855277
"2DS";"CHINA";"Bioenergy";"Industry";1992;0;0
"2DS";"CHINA";"Other renewables";"Industry";1992;0.00551144713945188;0.00536714600618052
"2DS";"CHINA";"Coal";"Industry";1993;66.9201483052154;66.6292513112644
"2DS";"CHINA";"Oil";"Industry";1993;8.02497466948791;7.95434745179098
"2DS";"CHINA";"Gas";"Industry";1993;2.30090469136541;1.8853503461008
"2DS";"CHINA";"Electricity";"Industry";1993;18.3829518934218;18.2467499891766
"2DS";"CHINA";"Heat";"Industry";1993;4.91537421738499;4.83645937646283
"2DS";"CHINA";"Bioenergy";"Industry";1993;0;0
"2DS";"CHINA";"Other renewables";"Industry";1993;0.00748156117910763;0.00740669778991405
"2DS";"CHINA";"Coal";"Industry";1994;65.4196130641;65.1922960023994
"2DS";"CHINA";"Oil";"Industry";1994;7.89363820097026;7.64922010851068
