model,Scenario,Region,Variable,Unit,1,2000,2004,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2060,2070,2080,2090,2100
EMELIE-ESY,EU1,Austria,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Austria,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Austria,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Austria,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Austria,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Belgium,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Belgium,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Belgium,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Belgium,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Belgium,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Czech Republic,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Czech Republic,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Czech Republic,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Czech Republic,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Czech Republic,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,EU12,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,EU12,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,EU12,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,EU12,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,EU12,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,EU15,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,EU15,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,EU15,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,EU15,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,EU15,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,EU27,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,EU27,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,EU27,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,EU27,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,EU27,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,France,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,France,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,France,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,France,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,France,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Germany,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Germany,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Germany,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Germany,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Germany,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Italy,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Italy,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Italy,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Italy,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Italy,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Netherlands,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Netherlands,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Netherlands,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Netherlands,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Netherlands,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Norway,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Norway,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Norway,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Norway,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Norway,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Poland,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Poland,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Poland,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Poland,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Poland,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,ROEU12,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,ROEU12,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,ROEU12,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,ROEU12,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,ROEU12,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,ROEU15,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,ROEU15,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,ROEU15,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,ROEU15,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,ROEU15,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,ROEU27,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,ROEU27,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,ROEU27,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,ROEU27,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,ROEU27,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Switzerland,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Switzerland,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Switzerland,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Switzerland,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU1,Switzerland,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Austria,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Austria,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Austria,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Austria,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Austria,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Belgium,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Belgium,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Belgium,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Belgium,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Belgium,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Czech Republic,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Czech Republic,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Czech Republic,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Czech Republic,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,Czech Republic,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,EU12,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,EU12,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,EU12,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,EU12,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,EU12,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,EU15,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,EU15,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,EU15,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,EU15,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,EU15,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,EU27,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
EMELIE-ESY,EU10,EU27,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
