"Route";"Question";"Range";"Scenario";"Year";"value";"count";"Routecount";"Indicator"
"Biomass";"6_1_3_TEXT";"Upper limit";"Baseline";2030;190;2;"n= 2";"Installed capacity"
"Biomass";"6_1_3_TEXT";"Upper limit";"Baseline";2030;240;2;"n= 2";"Installed capacity"
"Biomass";"6_1_4_TEXT";"Lower limit";"Baseline";2030;150;2;"n= 2";"Installed capacity"
"Biomass";"6_1_4_TEXT";"Lower limit";"Baseline";2030;120;2;"n= 2";"Installed capacity"
"Biomass";"6_1_6_TEXT";"Mean";"Baseline";2030;100;4;"n= 4";"Installed capacity"
"Biomass";"6_1_6_TEXT";"Mean";"Baseline";2030;200;4;"n= 4";"Installed capacity"
"Biomass";"6_1_6_TEXT";"Mean";"Baseline";2030;170;4;"n= 4";"Installed capacity"
"Biomass";"6_1_6_TEXT";"Mean";"Baseline";2030;180;4;"n= 4";"Installed capacity"
"Biomass";"6_2_3_TEXT";"Upper limit";"2 Degrees";2030;390;2;"n= 2";"Installed capacity"
"Biomass";"6_2_3_TEXT";"Upper limit";"2 Degrees";2030;400;2;"n= 2";"Installed capacity"
"Biomass";"6_2_4_TEXT";"Lower limit";"2 Degrees";2030;170;2;"n= 2";"Installed capacity"
"Biomass";"6_2_4_TEXT";"Lower limit";"2 Degrees";2030;100;2;"n= 2";"Installed capacity"
"Biomass";"6_2_6_TEXT";"Mean";"2 Degrees";2030;150;4;"n= 4";"Installed capacity"
"Biomass";"6_2_6_TEXT";"Mean";"2 Degrees";2030;250;4;"n= 4";"Installed capacity"
"Biomass";"6_2_6_TEXT";"Mean";"2 Degrees";2030;300;4;"n= 4";"Installed capacity"
"Biomass";"6_2_6_TEXT";"Mean";"2 Degrees";2030;250;4;"n= 4";"Installed capacity"
"Biomass";"6_3_3_TEXT";"Upper limit";"Baseline";2050;275;2;"n= 2";"Installed capacity"
"Biomass";"6_3_3_TEXT";"Upper limit";"Baseline";2050;240;2;"n= 2";"Installed capacity"
"Biomass";"6_3_4_TEXT";"Lower limit";"Baseline";2050;200;2;"n= 2";"Installed capacity"
"Biomass";"6_3_4_TEXT";"Lower limit";"Baseline";2050;120;2;"n= 2";"Installed capacity"
"Biomass";"6_3_6_TEXT";"Mean";"Baseline";2050;200;4;"n= 4";"Installed capacity"
"Biomass";"6_3_6_TEXT";"Mean";"Baseline";2050;300;4;"n= 4";"Installed capacity"
"Biomass";"6_3_6_TEXT";"Mean";"Baseline";2050;250;4;"n= 4";"Installed capacity"
"Biomass";"6_3_6_TEXT";"Mean";"Baseline";2050;180;4;"n= 4";"Installed capacity"
