"model";"Scenario";"Region";"Route";"Unit";"Year";"value";"Range";"Group"
"IMAGE";"Baseline";"World";"Biomass";"GW";2030;311.0430859;"IAMs";"IAMs"
"IMAGE";"Baseline";"World";"Nuclear";"GW";2030;746.2735;"IAMs";"IAMs"
"IMAGE";"Baseline";"World";"PV";"GW";2030;120.7953984;"IAMs";"IAMs"
"IMAGE";"Baseline";"World";"Wind";"GW";2030;1021.184;"IAMs";"IAMs"
"IMAGE";"2 Degrees";"World";"Biomass";"GW";2030;544.0585574;"IAMs";"IAMs"
"IMAGE";"2 Degrees";"World";"Nuclear";"GW";2030;724.1531875;"IAMs";"IAMs"
"IMAGE";"2 Degrees";"World";"PV";"GW";2030;109.9627969;"IAMs";"IAMs"
"IMAGE";"2 Degrees";"World";"Wind";"GW";2030;1089.454;"IAMs";"IAMs"
"MESSAGE";"Baseline";"World";"Biomass";"GW";2030;21.449;"IAMs";"IAMs"
"MESSAGE";"Baseline";"World";"Nuclear";"GW";2030;371.35;"IAMs";"IAMs"
"MESSAGE";"Baseline";"World";"PV";"GW";2030;145.049;"IAMs";"IAMs"
"MESSAGE";"Baseline";"World";"Wind";"GW";2030;316.085;"IAMs";"IAMs"
"MESSAGE";"2 Degrees";"World";"Biomass";"GW";2030;40.998;"IAMs";"IAMs"
"MESSAGE";"2 Degrees";"World";"Nuclear";"GW";2030;586.44;"IAMs";"IAMs"
"MESSAGE";"2 Degrees";"World";"PV";"GW";2030;760.735;"IAMs";"IAMs"
"MESSAGE";"2 Degrees";"World";"Wind";"GW";2030;1241.475;"IAMs";"IAMs"
"REMIND";"Baseline";"World";"Biomass";"GW";2030;29.88;"IAMs";"IAMs"
"REMIND";"Baseline";"World";"Nuclear";"GW";2030;583.173;"IAMs";"IAMs"
"REMIND";"Baseline";"World";"PV";"GW";2030;72.613;"IAMs";"IAMs"
"REMIND";"Baseline";"World";"Wind";"GW";2030;697.722;"IAMs";"IAMs"
"REMIND";"2 Degrees";"World";"Biomass";"GW";2030;31.73;"IAMs";"IAMs"
"REMIND";"2 Degrees";"World";"Nuclear";"GW";2030;932.547;"IAMs";"IAMs"
"REMIND";"2 Degrees";"World";"PV";"GW";2030;823.927;"IAMs";"IAMs"
"REMIND";"2 Degrees";"World";"Wind";"GW";2030;2165.951;"IAMs";"IAMs"
"TIAM-ECN";"Baseline";"World";"Biomass";"GW";2030;178.3912243;"IAMs";"IAMs"
"TIAM-ECN";"Baseline";"World";"Nuclear";"GW";2030;560.9079664;"IAMs";"IAMs"
"TIAM-ECN";"Baseline";"World";"PV";"GW";2030;2.511491952;"IAMs";"IAMs"
"TIAM-ECN";"Baseline";"World";"Wind";"GW";2030;356.6139845;"IAMs";"IAMs"
"TIAM-ECN";"2 Degrees";"World";"Biomass";"GW";2030;225.6367688;"IAMs";"IAMs"
"TIAM-ECN";"2 Degrees";"World";"Nuclear";"GW";2030;564.893291;"IAMs";"IAMs"
"TIAM-ECN";"2 Degrees";"World";"PV";"GW";2030;82.19127638;"IAMs";"IAMs"
"TIAM-ECN";"2 Degrees";"World";"Wind";"GW";2030;1053.108627;"IAMs";"IAMs"
"WITCH";"Baseline";"World";"Biomass";"GW";2030;8.797779808;"IAMs";"IAMs"
"WITCH";"Baseline";"World";"Nuclear";"GW";2030;620.0893266;"IAMs";"IAMs"
"WITCH";"Baseline";"World";"PV";"GW";2030;193.4125279;"IAMs";"IAMs"
"WITCH";"Baseline";"World";"Wind";"GW";2030;400.9537314;"IAMs";"IAMs"
"WITCH";"2 Degrees";"World";"Biomass";"GW";2030;157.5338293;"IAMs";"IAMs"
"WITCH";"2 Degrees";"World";"Nuclear";"GW";2030;1084.051638;"IAMs";"IAMs"
"WITCH";"2 Degrees";"World";"PV";"GW";2030;357.0575217;"IAMs";"IAMs"
"WITCH";"2 Degrees";"World";"Wind";"GW";2030;528.9106609;"IAMs";"IAMs"
"IMAGE";"Baseline";"World";"Biomass";"GW";2050;983.3534424;"IAMs";"IAMs"
"IMAGE";"Baseline";"World";"Nuclear";"GW";2050;912.942125;"IAMs";"IAMs"
"IMAGE";"Baseline";"World";"PV";"GW";2050;203.6692969;"IAMs";"IAMs"
