"model";"Scenario";"Region";"Variable";"Unit";"Year";"value";"Route";"Indicator"
"IMAGE";"2 Degrees";"World";"Total CCS";"Mt CO2/yr";2030;2501.418047;"IAMs";"Installed capacity"
"MESSAGE";"2 Degrees";"World";"Total CCS";"Mt CO2/yr";2030;2284.113333;"IAMs";"Installed capacity"
"REMIND";"2 Degrees";"World";"Total CCS";"Mt CO2/yr";2030;2616.051;"IAMs";"Installed capacity"
"TIAM-ECN";"2 Degrees";"World";"Total CCS";"Mt CO2/yr";2030;892.8621227;"IAMs";"Installed capacity"
"WITCH";"2 Degrees";"World";"Total CCS";"Mt CO2/yr";2030;3992.508705;"IAMs";"Installed capacity"
"IMAGE";"2 Degrees";"World";"Total CCS";"Mt CO2/yr";2050;14228.35319;"IAMs";"Installed capacity"
"MESSAGE";"2 Degrees";"World";"Total CCS";"Mt CO2/yr";2050;17893.81;"IAMs";"Installed capacity"
"REMIND";"2 Degrees";"World";"Total CCS";"Mt CO2/yr";2050;10693.976;"IAMs";"Installed capacity"
"TIAM-ECN";"2 Degrees";"World";"Total CCS";"Mt CO2/yr";2050;13256.50112;"IAMs";"Installed capacity"
"WITCH";"2 Degrees";"World";"Total CCS";"Mt CO2/yr";2050;7341.933825;"IAMs";"Installed capacity"
"IMAGE";"2 Degrees";"World";"Bio+CCS";"Mt CO2/yr";2030;1582.325028;"IAMs";"Installed capacity"
"MESSAGE";"2 Degrees";"World";"Bio+CCS";"Mt CO2/yr";2030;571.483;"IAMs";"Installed capacity"
"REMIND";"2 Degrees";"World";"Bio+CCS";"Mt CO2/yr";2030;381.166;"IAMs";"Installed capacity"
"TIAM-ECN";"2 Degrees";"World";"Bio+CCS";"Mt CO2/yr";2030;431.9650297;"IAMs";"Installed capacity"
"WITCH";"2 Degrees";"World";"Bio+CCS";"Mt CO2/yr";2030;785.4525856;"IAMs";"Installed capacity"
"IMAGE";"2 Degrees";"World";"Bio+CCS";"Mt CO2/yr";2050;8008.835924;"IAMs";"Installed capacity"
"MESSAGE";"2 Degrees";"World";"Bio+CCS";"Mt CO2/yr";2050;5775.044;"IAMs";"Installed capacity"
"REMIND";"2 Degrees";"World";"Bio+CCS";"Mt CO2/yr";2050;7527.216;"IAMs";"Installed capacity"
"TIAM-ECN";"2 Degrees";"World";"Bio+CCS";"Mt CO2/yr";2050;4255.471641;"IAMs";"Installed capacity"
"WITCH";"2 Degrees";"World";"Bio+CCS";"Mt CO2/yr";2050;3536.676171;"IAMs";"Installed capacity"
