"Study.title","Year.of.publication","Prepared.by","Focus","Field","count"
"Steel's contribution to a low-carbon Europe 2050",2013,"Boston Consulting Group/VDEh","Steel","Consultancy",1
"A Steel Roadmap for a Low-Carbon Europe 2050",2013,"EUROFER","Steel","Business & Trade Assocation",1
"Prospective Scenarios on Energy Efficiency and CO2 Emissions in the EU Iron & Steel Industry",2012,"Joint Research Centre","Steel","(Inter)Governmental",1
"Industrial Decarbonisation & Energy Efficiency Roadmaps to 2050 - Iron and Steel",2015,"WSP/Parsons Brinckerhoff/DNV GL","Steel","(Inter)Governmental",1
"Industrial Decarbonisation & Energy Efficiency Roadmaps to 2050 - Chemicals",2015,"WSP/Parsons Brinckerhoff/DNV GL","Plastics","(Inter)Governmental",1
"Technology Roadmap - Energy and GHG Reductions in the Chemical Industry via Catalytic Processes",2013,"IEA","Plastics","(Inter)Governmental",1
"European chemistry for growth - Unlocking a competitive, low carbon and energy efficient future",2013,"CEFIC/Ecofys","Plastics","Business & Trade Assocation",1
"The Forest Fibre Industry - 2050 Roadmap to a low-carbon bio-economy",2011,"CEPI","Paper","Business & Trade Assocation",1
"Industrial Decarbonisation & Energy Efficiency Roadmaps to 2050 - Pulp and Paper",2015,"WSP/Parsons Brinckerhoff/DNV GL","Paper","Other",1
"Options for Achieving a 50% Cut in Industrial Carbon Emissions by 2050",2010,"Allwood et al.","Industry sector","Academic/Research",1
"Technological prospects and CO2 emission trading analyses in the iron and steel industry: A global model",2005,"Hidalgo et al.","Steel","Academic/Research",1
"A projection for global CO2 emissions from the industrial sector through 2030 based on activity level and technology changes",2011,"Akashi et al.","Steel","Academic/Research",1
"The Roles of Energy and Material Efficiency in Meeting Steel Industry CO2Targets",2013,"Milford et al.","Steel","Academic/Research",1
"Energy Technology Perspectives 2015 - Mobilising Innovation to Accelerate Climate Action",2015,"IEA","Steel","(Inter)Governmental",1
"Energy Technology Transitions for Industry",2009,"IEA","Steel","(Inter)Governmental",1
"Long-term model-based projections of energy use and CO2emissions from the global steel and cement industries",2016,"Van Ruijven et al","Steel","Academic/Research",1
"A plant-specific bottom-up approach for assessing the cost-effective energy conservation potential and its ability to compensate rising energy-related costs in the German iron and steel industry",2014,"Brunke and Blesl","Steel","Academic/Research",1
"Forecasting global developments in the basic chemical industry for environmental policy analysis",2014,"Broeren et al.","Plastics","Academic/Research",1
"Energy demand and emissions of the non-energy sector",2014,"Daioglou et al","Plastics","Other",1
"Scenario Projections for Future Market Potentials of Biobased Bulk Chemicals",2008,"Dornburg et al.","Plastics","(Inter)Governmental",1
"Transitions to material efficiency in the UK steel economy",2013,"Allwood","Steel","(Inter)Governmental",1
"Carbon Control and Competitiveness Post 2020: The Steel Report",2014,"Neuhoff et al.","Steel","Other",1
"Switching to carbon-free production processes: Implications for carbon leakage and border carbon adjustment",2013,"Schinko et al.","Steel","Academic/Research",1
"A world model of the pulp and paper industry: Demand, energy consumption and emission scenarios to 2030",2009,"Szabo et al.","Paper","Academic/Research",1
"Techno-economic evaluation of innovative steel production technologies",2014,"Fischedick et al.","Steel","Academic/Research",1
"Decarbonising the energy intensive basic materials industry through electrification - Implications for future EU electricity demand",2016,"Lechtenböhmer et al.","Steel","Academic/Research",1
"Climate Change 2014: Mitigation of Climate Change. Contribution of Working Group III to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change",2014,"Fischedick and Roy","Industry sector","(Inter)Governmental",1
"Global outlook for wood and forests with the bioenergy demand implied by scenarios of the Intergovernmental Panel on Climate Change",2009,"Raunikar et al.","Paper","Academic/Research",1
"Techno-economic Feasibility of Large-scale Production of Bio-based Polymers in Europe",2005,"Wolf et al.","Plastics","Academic/Research",1
"The climate change challenge and transitions for radical changes in the European steel industry",2005,"Rynikiewicz","Steel","Other",1
"The Steel Scrap Age",2013,"Pauliuk et al.","Steel","Other",1
