"Scenario";"Year";"Variable";"V1";"Rank"
"LIMITS1";2050;"PV";0,677647241382114;5
"LIMITS4";2050;"PV";11,5006685179101;4
"LIMITS1";2050;"CSP";0,176376637919683;6
"LIMITS4";2050;"CSP";3,62462602007746;7
"LIMITS1";2050;"Wind";4,75115434696626;3
"LIMITS4";2050;"Wind";17,8815909569613;2
"LIMITS1";2050;"BiomassCCS";0,0000152074719114854;8
"LIMITS4";2050;"BiomassCCS";5,76308655569851;5
"LIMITS1";2050;"BiomassnoCCS";0,768379559059457;4
"LIMITS4";2050;"BiomassnoCCS";0,940639089736678;8
"LIMITS1";2050;"Nuclear";9,44675782933886;2
"LIMITS4";2050;"Nuclear";14,5293111671231;3
"LIMITS1";2050;"FossilCCS";0,110576306246867;7
"LIMITS4";2050;"FossilCCS";21,0227546116578;1
"LIMITS1";2050;"FossilnoCCS";71,4382325059023;1
"LIMITS4";2050;"FossilnoCCS";3,93130588647036;6
