Date,Class,What,URL
3/6/2019,Conference,IEW 2019,http://www.internationalenergyworkshop.org/meetings-12.html
4/6/2019,Conference,IEW 2019,http://www.internationalenergyworkshop.org/meetings-12.html
5/6/2019,Conference,IEW 2019,http://www.internationalenergyworkshop.org/meetings-12.html
1/2/2019,Deadline,IEW 2019,http://www.internationalenergyworkshop.org/meetings-12.html
8/7/2019,Summer School,Futuring for Sustainability,https://www.utrechtsummerschool.nl/courses/social-sciences/futuring-for-sustainability
9/7/2019,Summer School,Futuring for Sustainability,https://www.utrechtsummerschool.nl/courses/social-sciences/futuring-for-sustainability
10/7/2019,Summer School,Futuring for Sustainability,https://www.utrechtsummerschool.nl/courses/social-sciences/futuring-for-sustainability
11/7/2019,Summer School,Futuring for Sustainability,https://www.utrechtsummerschool.nl/courses/social-sciences/futuring-for-sustainability
12/7/2019,Summer School,Futuring for Sustainability,https://www.utrechtsummerschool.nl/courses/social-sciences/futuring-for-sustainability
1/6/2019,Deadline,Futuring for Sustainability,https://www.utrechtsummerschool.nl/courses/social-sciences/futuring-for-sustainability
25/3/2019,Conference,REINVENT project meeting,
26/3/2019,Conference,REINVENT project meeting,
27/3/2019,Conference,REINVENT project meeting,
27/3/2019,Stakeholder Workshop,REINVENT workshop,
