"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Forcing","W/m2","",1.8427,2.062,0,2.6103,0,2.928,0,2.7882,0,2.5854,0,2.3667,0,2.1948,0,2.0391,0,1.8872,0,1.7708
"AIM/CGE 2.0","ADVANCE_2020_Med2C","World","Forcing","W/m2","",1.8427,2.062,0,2.6089,0,2.9497,0,2.9414,0,2.9742,0,2.9786,0,2.9881,0,3.0349,0,3.0852,0,3.1134
"AIM/CGE 2.0","ADVANCE_2020_WB2C","World","Forcing","W/m2","",1.8427,2.062,0,2.6101,0,2.9426,0,2.882,0,2.7752,0,2.6547,0,2.5495,0,2.4861,0,2.4366,0,2.3752
"AIM/CGE 2.0","ADVANCE_2030_Med2C","World","Forcing","W/m2","",1.8427,2.0621,0,2.6119,0,3.0436,0,3.3067,0,3.1835,0,3.1349,0,3.1416,0,3.1986,0,3.2644,0,3.3028
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","World","Forcing","W/m2","",1.8427,2.0611,0,2.6121,0,3.053,0,3.2928,0,3.0143,0,2.7897,0,2.6408,0,2.5311,0,2.44,0,2.3765
"AIM/CGE 2.0","ADVANCE_2030_WB2C","World","Forcing","W/m2","",1.8427,2.0621,0,2.6119,0,3.0436,0,3.3073,0,3.1333,0,2.9125,0,2.7384,0,2.6214,0,2.5495,0,2.4803
"AIM/CGE 2.0","ADVANCE_INDC","World","Forcing","W/m2","",1.8427,2.0611,0,2.6112,0,3.0448,0,3.4086,0,3.6632,0,3.8169,0,3.9554,0,4.0545,0,4.1311,0,4.1882
"AIM/CGE 2.0","ADVANCE_NoPolicy","World","Forcing","W/m2","",1.8427,2.0612,0,2.6256,0,3.1328,0,3.6969,0,4.2467,0,4.7207,0,5.2093,0,5.734,0,6.2625,0,6.7492
"AIM/CGE 2.0","ADVANCE_Reference","World","Forcing","W/m2","",1.8427,2.0611,0,2.608,0,3.0692,0,3.5639,0,4.0312,0,4.4258,0,4.8224,0,5.2361,0,5.6837,0,6.1098
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","World","Forcing","W/m2","",1.8438,2.0785,0,2.5597,0,2.8149,0,2.7137,0,2.5406,0,2.3656,0,2.2224,0,2.0954,0,1.9885,0,1.8995
"AIM/CGE 2.0","SFCM_SSP2_Bio_2Degree","World","Forcing","W/m2","",1.8438,2.0785,0,2.5577,0,2.8427,0,2.942,0,2.9229,0,2.8901,0,2.8565,0,2.8021,0,2.747,0,2.6991
"AIM/CGE 2.0","SFCM_SSP2_Bio_Baseline","World","Forcing","W/m2","",1.8437,2.0764,0,2.6206,0,3.1448,0,3.6925,0,4.2379,0,4.7514,0,5.2705,0,5.7779,0,6.2735,0,6.7424
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","World","Forcing","W/m2","",1.8443,2.085,0,2.5678,0,2.8153,0,2.7046,0,2.5267,0,2.3452,0,2.1948,0,2.0637,0,1.9551,0,1.8634
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","World","Forcing","W/m2","",1.8443,2.085,0,2.5658,0,2.8453,0,2.9346,0,2.9079,0,2.8732,0,2.8347,0,2.7761,0,2.7191,0,2.6695
"AIM/CGE 2.0","SFCM_SSP2_EEEI_Baseline","World","Forcing","W/m2","",1.8442,2.0832,0,2.6215,0,3.1157,0,3.6102,0,4.0811,0,4.5133,0,4.958,0,5.3825,0,5.7862,0,6.1563
"AIM/CGE 2.0","SFCM_SSP2_LifeStyle_1p5Degree","World","Forcing","W/m2","",1.8441,2.0815,0,2.5556,0,2.8021,0,2.6932,0,2.5162,0,2.3389,0,2.1942,0,2.0674,0,1.962,0,1.8749
"AIM/CGE 2.0","SFCM_SSP2_LifeStyle_2Degree","World","Forcing","W/m2","",1.8441,2.0815,0,2.5536,0,2.828,0,2.9187,0,2.8936,0,2.8611,0,2.8257,0,2.77,0,2.7155,0,2.6691
