"Model","Scenario","Region","Variable","Unit","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED","°C",0.711019357,0.737666689,0.759933025,0.776513985,0.790306781,0.804564339,0.822495227,0.822497196,0.836823366,0.865578305,0.893047415,0.918877366,0.947953362,0.975382855,1.002978573,1.030785315,1.058073442,1.085840761,1.114185427,1.143432559,1.174356352,1.20747334,1.241699704,1.277449858,1.311243273,1.338445721,1.362388393,1.38529991,1.405326535,1.424184391,1.439152105,1.452039738,1.467138541,1.478010124,1.487917534,1.496134759,1.504062044,1.50900203,1.514945672,1.520613966,1.52280506,1.524654678,1.528331388,1.533208213,1.5336389,1.533621006,1.536661682,1.537765695,1.534376491,1.533128746,1.530365898,1.527293695,1.524688209,1.517039895,1.507222767,1.499898669,1.493999641,1.488747118,1.484157087,1.478046952,1.472447397,1.466969038,1.460993527,1.454590722,1.448455112,1.442554265,1.43525068,1.428734739,1.422041811,1.416344863,1.409755373,1.403411433,1.397251805,1.39116726,1.385113324,1.379063621,1.372928872,1.366706671,1.35990625,1.354326884,1.347712802,1.341585456,1.336838662,1.330967576,1.324256623,1.318276587,1.31111651,1.305117813,1.299463665,1.293851769,1.28758147,1.281498049,1.275407286,1.270243095,1.264914192,1.260314482,1.25547689,1.251190201,1.245037878,1.239493473,1.235018356
"AIM/CGE 2.0","ADVANCE_2020_Med2C","World","AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED","°C",0.711019357,0.737666689,0.759933025,0.776513985,0.790306781,0.804564339,0.822495227,0.822497196,0.836823366,0.865578305,0.893047473,0.918877389,0.947947256,0.975360861,1.002926962,1.030686826,1.05792914,1.085611949,1.113874698,1.143018101,1.173708424,1.20641049,1.240052004,1.275028543,1.308671245,1.336342335,1.360221382,1.383870576,1.405126797,1.425010655,1.443107741,1.457030282,1.47114612,1.485884206,1.499343828,1.510016175,1.521884692,1.533951983,1.544443562,1.553015227,1.565287764,1.57672639,1.586834408,1.599496068,1.611594489,1.623547632,1.635137611,1.644882557,1.655383424,1.665884292,1.677065375,1.685588114,1.695970795,1.70592808,1.714932187,1.721637671,1.73038149,1.737775032,1.743466672,1.750839568,1.757364684,1.761579433,1.76562398,1.768864663,1.773385803,1.777834536,1.782556715,1.787318901,1.791713182,1.795531108,1.800440898,1.804118033,1.809087007,1.814807779,1.820490932,1.824471626,1.828820807,1.834448628,1.840019417,1.845635822,1.851850924,1.858205837,1.864592081,1.870594589,1.875980511,1.88135957,1.886840945,1.89229564,1.898156224,1.904043136,1.909883994,1.916057702,1.922160524,1.928175971,1.933976485,1.939362969,1.944922159,1.950375455,1.955693797,1.960793592,1.965214122
"AIM/CGE 2.0","ADVANCE_2020_WB2C","World","AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED","°C",0.711019357,0.737666689,0.759933025,0.776513985,0.790306781,0.804564339,0.822495227,0.822497196,0.836823366,0.865578305,0.893047473,0.918877389,0.94795312,0.975381805,1.002975416,1.03077821,1.058064046,1.085830112,1.114174564,1.143427535,1.174216405,1.207087488,1.240791488,1.275871964,1.30939712,1.337028842,1.360560313,1.383897388,1.404706935,1.424113283,1.44156216,1.456765098,1.471374934,1.486310977,1.499581057,1.509064596,1.517657413,1.524941255,1.532098842,1.53872111,1.544047715,1.550983579,1.557009407,1.562023426,1.56812617,1.574880776,1.581267324,1.586818879,1.591118825,1.595159049,1.598371305,1.601011315,1.604450578,1.606925966,1.606685363,1.607480678,1.607632231,1.607854734,1.607847234,1.60652525,1.60434691,1.602275627,1.600406716,1.597945872,1.594934062,1.592252876,1.59069421,1.588264364,1.584836695,1.582140092,1.58032301,1.579083186,1.576370172,1.574501634,1.573723809,1.574088486,1.573695583,1.573104931,1.572661206,1.571671732,1.570978736,1.570321166,1.569571917,1.569059452,1.568506392,1.56772536,1.567497324,1.566550183,1.56600303,1.565067334,1.564748257,1.565054205,1.564727877,1.563020875,1.561875369,1.560795885,1.559270917,1.558073223,1.556784098,1.555189651,1.552965852
"AIM/CGE 2.0","ADVANCE_2030_Med2C","World","AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED","°C",0.711019357,0.737666689,0.759933025,0.776513985,0.790306781,0.804564339,0.822495227,0.822497196,0.836823366,0.865578305,0.893047501,0.918877493,0.947962292,0.975413908,1.003056822,1.030955744,1.058467472,1.086510523,1.115139647,1.144901146,1.174251663,1.203303105,1.231895473,1.260660213,1.289304208,1.317926376,1.347004342,1.374583583,1.402418109,1.429593639,1.459058945,1.491630012,1.525905453,1.561046912,1.594669896,1.62417561,1.647468851,1.668621498,1.687896382,1.705701705,1.720428606,1.734627129,1.748040755,1.757849848,1.76618122,1.773875179,1.780400126,1.7913871,1.801125803,1.807168291,1.814608359,1.818666111,1.824937079,1.833233945,1.840549656,1.847870535,1.854111782,1.861542581,1.868824474,1.875219708,1.879824844,1.886282035,1.893122439,1.900094145,1.905565956,1.910860489,1.915842352,1.919625666,1.924983695,1.931836516,1.938804394,1.945644741,1.951183847,1.957488496,1.963011482,1.968282496,1.972605657,1.978662499,1.985196517,1.991963028,1.999010646,2.006591359,2.014344999,2.02201054,2.028499486,2.035877183,2.043584686,2.051254074,2.058804332,2.066204543,2.073965914,2.080982638,2.087831926,2.094532155,2.101096747,2.107573227,2.113233518,2.119210907,2.125883078,2.133240602,2.139909813
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","World","AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED","°C",0.711019357,0.737666689,0.759933025,0.776513985,0.790306781,0.804564339,0.822495227,0.822497196,0.836823366,0.865578305,0.893016268,0.918798453,0.947761896,0.975156181,1.002855903,1.03100215,1.058460203,1.086869594,1.115682469,1.145670502,1.175362096,1.204598378,1.233576488,1.262857697,1.292076949,1.321337128,1.350880074,1.378876948,1.40661265,1.434537061,1.465886248,1.501374914,1.54121379,1.579859151,1.614131354,1.643400718,1.664579716,1.682460875,1.695527233,1.706103504,1.716627551,1.72428078,1.727863639,1.731395386,1.734983936,1.741346061,1.74115134,1.740711484,1.740886653,1.74239379,1.742391529,1.74162697,1.741329307,1.739369546,1.7349266,1.733183201,1.731989887,1.728383182,1.723657792,1.719143836,1.714120251,1.710294183,1.705108775,1.700182232,1.696813398,1.693693701,1.690608011,1.687383622,1.684024246,1.681029122,1.678015997,1.67550538,1.673391061,1.671099879,1.668706234,1.666449943,1.66430297,1.663684122,1.661551908,1.658401426,1.655496133,1.653129958,1.651143562,1.649276486,1.647998613,1.646153285,1.64329538,1.640402741,1.637708474,1.635966464,1.63406574,1.632240507,1.629437929,1.626878548,1.623350251,1.620544001,1.619514677,1.619948843,1.621194609,1.621838977,1.623373583
"AIM/CGE 2.0","ADVANCE_2030_WB2C","World","AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED","°C",0.711019357,0.737666689,0.759933025,0.776513985,0.790306781,0.804564339,0.822495227,0.822497196,0.836823366,0.865578305,0.893047501,0.918877493,0.947962292,0.975413908,1.003056822,1.030955744,1.058467472,1.086510523,1.115139647,1.144901146,1.174251663,1.203303105,1.231895473,1.260660213,1.289304208,1.317926376,1.347004342,1.374583583,1.402418109,1.429593639,1.459059613,1.491632696,1.52591696,1.561059716,1.594688637,1.624206148,1.647470849,1.668636942,1.687908242,1.705697624,1.721248625,1.737279051,1.752816263,1.764630327,1.772778904,1.778796601,1.782506457,1.78834486,1.789909694,1.792856481,1.793026984,1.793665216,1.795977459,1.797658001,1.798546771,1.798196327,1.796326752,1.794200779,1.793084488,1.791081155,1.788373965,1.785900372,1.780368287,1.778087855,1.774385415,1.768781328,1.763507297,1.758845542,1.753925625,1.750621395,1.746610909,1.742208211,1.738175712,1.734369598,1.730839802,1.727917233,1.725406154,1.724021445,1.722220464,1.720593956,1.71875242,1.716754688,1.715777577,1.715151088,1.71377707,1.712319784,1.712029344,1.711205852,1.709893127,1.70882049,1.707589504,1.706978328,1.706624021,1.706273137,1.704939932,1.703152819,1.701588782,1.699418841,1.696638697,1.694490853,1.692414486
"AIM/CGE 2.0","ADVANCE_INDC","World","AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED","°C",0.711019357,0.737666689,0.759933025,0.776513985,0.790306781,0.804564339,0.822495227,0.822497196,0.836823366,0.865578305,0.893027058,0.918827781,0.947819842,0.975209171,1.002820047,1.030806593,1.058226229,1.086275984,1.11493391,1.144705095,1.174277525,1.20335324,1.231994578,1.260709265,1.289464234,1.318161439,1.346951526,1.375209293,1.40283954,1.430272461,1.458788081,1.487872498,1.517303687,1.546659698,1.576736292,1.605548966,1.633944452,1.661852159,1.689575472,1.716994535,1.744708796,1.772094718,1.799994,1.826248878,1.852361576,1.877172659,1.901094152,1.925373465,1.948435161,1.971845372,1.994523617,2.015466341,2.035615487,2.055655241,2.075263712,2.093287041,2.111866875,2.13008348,2.1477915,2.16318764,2.179529986,2.196966966,2.214190301,2.23217518,2.249703671,2.265327738,2.280556022,2.295675781,2.309628778,2.323262953,2.336598701,2.35001524,2.363748167,2.377642407,2.391598369,2.405014131,2.416625629,2.427881288,2.439282586,2.451011651,2.462828192,2.474839742,2.485339694,2.497390957,2.509321605,2.520466932,2.531551969,2.542278753,2.552905856,2.563623748,2.574485508,2.584351478,2.593001963,2.604684509,2.616273915,2.626494142,2.635944516,2.644090142,2.650999179,2.66024007,2.670830995
"AIM/CGE 2.0","ADVANCE_NoPolicy","World","AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED","°C",0.711019357,0.737666689,0.759933025,0.776513985,0.790306781,0.804564339,0.822495227,0.822497196,0.836823366,0.865578305,0.892945412,0.918529771,0.94721167,0.974426819,1.002201293,1.03018586,1.057578653,1.086084206,1.115064189,1.145034489,1.175351939,1.204798593,1.233961805,1.263359387,1.293173201,1.32302735,1.353666285,1.384581883,1.415687596,1.446931416,1.479799688,1.513761076,1.548224535,1.582562932,1.61632422,1.651850087,1.68910699,1.725389309,1.761494217,1.79796636,1.835683815,1.874643169,1.913040879,1.953866818,1.993126691,2.031979056,2.070274144,2.108542092,2.148148108,2.187793223,2.225553777,2.261279447,2.29637314,2.329265083,2.364263288,2.401025041,2.437852981,2.474431011,2.514302386,2.551707629,2.591124976,2.628135167,2.664573515,2.702762256,2.74028333,2.776785426,2.81260757,2.845910633,2.88052889,2.915304064,2.952195297,2.990424024,3.027671203,3.068071141,3.10618782,3.141530625,3.17827042,3.216177621,3.253078095,3.291118487,3.330578179,3.371974673,3.413423033,3.453997178,3.495601582,3.535069327,3.574289285,3.615030127,3.655966251,3.697147757,3.743292495,3.786141036,3.827633487,3.866691607,3.90912983,3.948506936,3.988969423,4.03152617,4.07699795,4.118269467,4.15309013
"AIM/CGE 2.0","ADVANCE_Reference","World","AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED","°C",0.711019357,0.737666689,0.759933025,0.776513985,0.790306781,0.804564339,0.822495227,0.822497196,0.836823366,0.865578305,0.893027058,0.918827781,0.947805054,0.975156363,1.002697898,1.030576267,1.057897996,1.085716892,1.114178428,1.143673632,1.172859219,1.201074574,1.22919838,1.25681684,1.285348731,1.31348028,1.342653594,1.371446368,1.399890401,1.429920864,1.460358359,1.491010406,1.522155301,1.55475833,1.585991832,1.618173948,1.65103773,1.684142274,1.717064193,1.749187473,1.782377093,1.816913896,1.851071252,1.884730527,1.91860135,1.95213533,1.985535063,2.018843102,2.053013994,2.089253615,2.121875083,2.153463163,2.184281845,2.21481191,2.243993006,2.272714384,2.300885599,2.331562657,2.361651558,2.392984576,2.423521181,2.454054188,2.48497051,2.515973394,2.548387255,2.576415679,2.604104576,2.632835877,2.662310251,2.689782272,2.71967648,2.752318485,2.779489616,2.807107995,2.835295231,2.864462365,2.893362585,2.922886523,2.953876137,2.984314589,3.016306189,3.047223854,3.078382264,3.109734634,3.142104962,3.174059629,3.20691422,3.241101208,3.273472213,3.304814969,3.336942592,3.370216832,3.402655241,3.436465528,3.470305696,3.505204665,3.541228661,3.574372962,3.606024792,3.638395269,3.672224893
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","World","AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED","°C",0.711019357,0.737666689,0.759933025,0.776513985,0.790306781,0.804564339,0.822495227,0.822497196,0.836823366,0.865578305,0.893173589,0.919380698,0.948482485,0.976004404,1.002157394,1.028149492,1.053560254,1.078989112,1.105403572,1.130751433,1.158355858,1.188338489,1.218110163,1.247971158,1.275037345,1.300663485,1.32533358,1.346053496,1.366631431,1.386290274,1.402359637,1.414437482,1.42999472,1.44227929,1.452632489,1.462746897,1.472361525,1.481534317,1.48937452,1.496541497,1.502807396,1.509690102,1.518484088,1.525731299,1.531853688,1.539235838,1.544661543,1.550640224,1.555563957,1.558965075,1.562349092,1.564505242,1.564150555,1.566880615,1.569307292,1.569455251,1.570836617,1.571451585,1.570794881,1.572352595,1.571703829,1.571469987,1.571391328,1.572858731,1.574646616,1.576436776,1.57831172,1.580869841,1.583566821,1.584162351,1.583974302,1.584377712,1.586752538,1.58980989,1.592059145,1.59384481,1.595701164,1.597646665,1.599689164,1.601830802,1.604354666,1.607646574,1.611007985,1.614509906,1.617987611,1.620745526,1.622990197,1.625456572,1.628162472,1.630894588,1.633066932,1.635318718,1.637647454,1.640070732,1.643632955,1.64726663,1.650230257,1.653203094,1.656242846,1.659347949,1.662507083
